故障模式分类及影响分析											重要故障分析		故障处理分析				断点续训恢复	故障注入分析				故障诊断分析						遗留问题		TOP20	TOP20-PR合入		可测试	错误码								错误码说明		故障模式支持情况（MindCluster维护）		
AI_MINDIE_LLM_BATCHSCHEDULER_1		AI软件	MINDIE	LLM	BatchScheduler	平台软件					否	否	~/mindie/log/debug/mindie-llm_{pid}_{time}.log	退出	记录错误日志,退出		不涉及	是			无效的配置文件路径，或无效的配置文件	查看故障日志				用户级调用		找胡守峰对一下，按照llm统一标准来填						MIE	5		2			MIE0502				否		
AI_MINDIE_LLM_BATCHSCHEDULER_2		AI软件	MINDIE	LLM	BatchScheduler	平台软件					是	否	~/mindie/log/debug/mindie-llm_{pid}_{time}.log	退出	记录错误日志,退出		不涉及	是			无效的配置文件路径，或无效的配置文件	查看故障日志				用户级调用								MIE	5		2			MIE0502				否		
AI_MINDIE_LLM_BATCHSCHEDULER_3		AI软件	MINDIE	LLM	BatchScheduler	平台软件					否	否	~/mindie/log/debug/mindie-llm_{pid}_{time}.log	退出	记录错误日志,退出		不涉及	否				查看故障日志				开发调试								MIE	5		2			MIE0502				否		
AI_MINDIE_LLM_BATCHSCHEDULER_4		AI软件	MINDIE	LLM	BatchScheduler	平台软件					否	否	~/mindie/log/debug/mindie-llm_{pid}_{time}.log	退出	记录错误日志,退出		不涉及	否				查看故障日志				开发调试								MIE	5		2			MIE0502				否		
AI_MINDIE_LLM_BATCHSCHEDULER_5		AI软件	MINDIE	LLM	BatchScheduler	平台软件					是	否	~/mindie/log/debug/mindie-llm_{pid}_{time}.log	退出	记录错误日志,退出		不涉及	是				查看故障日志				用户级调用								MIE	5		2			MIE0502				否		
AI_MINDIE_LLM_BATCHSCHEDULER_6		AI软件	MINDIE	LLM	BatchScheduler	平台软件					是	否	~/mindie/log/debug/mindie-llm_{pid}_{time}.log	退出	记录错误日志,退出		不涉及	是				查看故障日志				用户级调用								MIE	5		2			MIE0502				否		
AI_MINDIE_LLM_TEXTGENERATOR_1	初始化失败：插件特性不支持	AI软件	MINDIE	LLM	TextGenerator	平台软件	插件类型名称配置不合法	启动失败	启动失败	用户配置错误	否	否	mindie/latest/mindie-llm/logs/pythonlog.log	退出	记录错误日志，抛出异常，退出		不涉及	是	修改配置	"设置环境变量：
在config.json中的ModelConfig内配置Plugin参数时，plugin_type配置成目前不支持的参数类型名称。
示例：
""plugin_params"": ""{\""plugin_type\"":\""prefix_cachexxx\""}"""	"设置环境变量：
在config.json中的ModelConfig内配置Plugin参数时，plugin_type配置成目前不支持的参数类型名称。
示例：
""plugin_params"": ""{\""plugin_type\"":\""prefix_cachexxx\""}"""	查看故障日志	Unsupported plugin type: {plugin_type}, Only 'la', 'memory_decoding', 'prefix_cache', and 'splitfuse' are supported.	#NAME?		启动服务				Y	已合入		是	MIE	5	E	1	0	0	MIE05E010000	TEXT_GENERATOR_PLUGIN_NAME_INVALID			是	630	['MIE05E010000']
AI_MINDIE_LLM_TEXTGENERATOR_2	初始化失败：特性使用场景限制条件不满足	AI软件	MINDIE	LLM	TextGenerator	平台软件	使能插件与不支持的特性配合	启动失败	启动失败	用户配置错误	否	否	mindie/latest/mindie-llm/logs/pythonlog.log	退出	记录错误日志，抛出异常，退出		不涉及	是	修改配置	"使能splitfuse时，模型路径下有lora相关的json文件。
1. 使能splitfuse：config.json 中的ModelConfig内配置：""plugin_params"": ""{\""plugin_type\"":\""splitfuse\""}""，ScheduleConfig中的templateType配置为""Mix""
2. 使用支持mult-lora的模型，且模型路径下有lora_adapter.json文件。"	"使能splitfuse时，模型路径下有lora相关的json文件。
1. 使能splitfuse：config.json 中的ModelConfig内配置：""plugin_params"": ""{\""plugin_type\"":\""splitfuse\""}""，ScheduleConfig中的templateType配置为""Mix""
2. 使用支持mult-lora的模型，且模型路径下有lora_adapter.json文件。"	查看故障日志	SplitFuse is not supported when LoRA is enabled! If you want to enable SplitFuse only, please ensure that there is no file named 'lora_adapter.json' in the model path. Or if LoRA is exactly what you need, try to clear 'plugin_params' and to make sure 'templateType' is 'Standard'.	#NAME?		启动服务				Y	已合入		是	MIE	5	E	1	0	1	MIE05E010001	TEXT_GENERATOR_FEAT_COMPAT_INVALID			是	630	['MIE05E010001']
AI_MINDIE_LLM_TEXTGENERATOR_3	请求推理失败：无效的request_ids	AI软件	MINDIE	LLM	TextGenerator	平台软件	运行时报错：使用了未申请过的requset id	请求推理失败	功能异常	功能异常	否	否	mindie/latest/mindie-llm/logs/pythonlog.log	退出	记录错误日志，抛出异常，退出		不涉及	是	侵入式修改代码	"使能LA并行解码时，在get_guess_token函数中强行将req_id赋值为从未使用的值即可触发
1. 打开并行解码：config.json中的ModelConfig内配置：""plugin_params"": ""{\""plugin_type\"":\""la\"",\""level\"": 4,\""window\"": 5,\""guess_set_size\"": 5}""，ModelDeployConfig配置""speculationGamma"": 30
2. 在mindie_llm/text_generator/plugins/la/decoding_policy.py:33中的get_guess_token函数，将req_id在入口直接改为10000."	"使能LA并行解码时，在get_guess_token函数中强行将req_id赋值为从未使用的值即可触发
1. 打开并行解码：config.json中的ModelConfig内配置：""plugin_params"": ""{\""plugin_type\"":\""la\"",\""level\"": 4,\""window\"": 5,\""guess_set_size\"": 5}""，ModelDeployConfig配置""speculationGamma"": 30
2. 在mindie_llm/text_generator/plugins/la/decoding_policy.py:33中的get_guess_token函数，将req_id在入口直接改为10000."	查看抛出的异常信息	req_id {req_id} not allocated! This reqeust not prefilled before decoding!	#NAME?		开发调试				Y	"日志已合入
用例待补充"			MIE	5	E	1	0	2	MIE05E010002	TEXT_GENERATOR_REQ_ID_INVALID			是	630	['MIE05E010002']
AI_MINDIE_LLM_TEXTGENERATOR_6	请求推理失败：采样参数非法	AI软件	MINDIE	LLM	TextGenerator	平台软件	除零异常报错：采样后处理temperature采样参数配置为0	请求推理失败	功能异常	用户级配置错误			mindie/latest/mindie-llm/logs/pythonlog.log	记录错误日志	记录错误日志		不涉及	是	侵入式修改代码	不需要该故障码，已删除	"使能LA并行解码时，在get_guess_token函数中强行将req_id赋值为从未使用的值即可触发
1. 打开并行解码：config.json中的ModelConfig内配置：""plugin_params"": ""{\""plugin_type\"":\""la\"",\""level\"": 4,\""window\"": 5,\""guess_set_size\"": 5}""，ModelDeployConfig配置""speculationGamma"": 30
2. 在mindie_llm/text_generator/plugins/la/decoding_policy.py:942中的la_verify_sample_by_batch函数，在if temperatures[batch] == 0判断前增加temperatures[batch] = 0"	查看故障日志	temperature cannot be `0`! Please check temperature value in request.	#NAME?						Y	"日志已合入
用例待补充"		是	MIE	5	E	1	0	3	MIE05E010003	TEXT_GENERATOR_TEMP_ZERO_DIV_ERR	该错误码不需要，已删除		是	630	['MIE05E010003']
AI_MINDIE_LLM_TEXTGENERATOR_7	请求推理失败：惩罚类参数非法	AI软件	MINDIE	LLM	TextGenerator	平台软件	除零异常报错：采样后处理重复惩罚参数配置为0	请求推理失败	功能异常	用户级配置错误			mindie/latest/mindie-llm/logs/pythonlog.log	记录错误日志	记录错误日志		不涉及	是	侵入式修改代码	不需要该故障码，已删除	"使能LA并行解码时，在get_guess_token函数中强行将req_id赋值为从未使用的值即可触发
1. 打开并行解码：config.json中的ModelConfig内配置：""plugin_params"": ""{\""plugin_type\"":\""la\"",\""level\"": 4,\""window\"": 5,\""guess_set_size\"": 5}""，ModelDeployConfig配置""speculationGamma"": 30
2. 在mindie_llm/text_generator/plugins/la/decoding_policy.py:460的do_repetition_penalty_batch函数中,在if non_zero_penalty_num < penalty.numel()判断前增加non_zero_penalty_num = 0"	查看故障日志	repetition_penalty should not be 0! Please check repetition value in request.	#NAME?						Y	"日志已合入
用例待补充"		是	MIE	5	E	1	0	4	MIE05E010004	TEXT_GENERATOR_REQ_PENALTY_ZERO_DIV_ERR	该错误码不需要，已删除		是	630	['MIE05E010004']
AI_MINDIE_LLM_TEXTGENERATOR_8	请求推理失败：没有正常执行推理流程，除零保护	AI软件	MINDIE	LLM	TextGenerator	平台软件	除零异常报错：并行解码推理执行轮数为0	请求推理失败	功能异常	功能异常			mindie/latest/mindie-llm/logs/pythonlog.log	退出	记录错误日志，抛出异常，退出		不涉及	是	侵入式修改代码	被提前拦截，走不到该错误码，白盒验证	"export MINDIE_LLM_PYTHON_LOG_LEVEL=DEBUG
1. 打开并行解码：config.json中的ModelConfig内配置：""plugin_params"": ""{\""plugin_type\"":\""la\"",\""level\"": 4,\""window\"": 5,\""guess_set_size\"": 5}""，ModelDeployConfig配置""speculationGamma"": 30
2. 在mindie_llm/text_generator/plugins/la/la_statistics.py:33的print_statistics函数中将self.total_steps直接改为0"	查看抛出的异常信息	Request {req_id} has never been executed, so data statistics cannot be recorded	#NAME?		开发调试				Y	"日志已合入
用例待补充"			MIE	5	E	1	0	5	MIE05E010005	TEXT_GENERATOR_ZERO_ITER_ERR			是	630	['MIE05E010005']
AI_MINDIE_LLM_TEXTGENERATOR_9	请求推理失败：没有正常执行推理流程	AI软件	MINDIE	LLM	TextGenerator	平台软件	除零异常报错：并行解码推理执行时间为0	请求推理失败	功能异常	功能异常			mindie/latest/mindie-llm/logs/pythonlog.log	退出	记录错误日志，抛出异常，退出		不涉及	是	侵入式修改代码	被提前拦截，走不到该错误码，白盒验证	"export MINDIE_LLM_PYTHON_LOG_LEVEL=DEBUG
1. 打开并行解码：config.json中的ModelConfig内配置：""plugin_params"": ""{\""plugin_type\"":\""la\"",\""level\"": 4,\""window\"": 5,\""guess_set_size\"": 5}""，ModelDeployConfig配置""speculationGamma"": 30
2. 在mindie_llm/text_generator/plugins/la/la_statistics.py:33的print_statistics函数中将total_time直接改为0"	查看抛出的异常信息	Request {req_id} has never been executed, so data statistics cannot be recorded	#NAME?		开发调试				Y	"日志已合入
用例待补充"			MIE	5	E	1	0	6	MIE05E010006	TEXT_GENERATOR_ZERO_TIME_ERR			是	630	['MIE05E010006']
AI_MINDIE_LLM_TEXTGENERATOR_10	请求推理失败：无效的request_ids	AI软件	MINDIE	LLM	TextGenerator	平台软件	运行时报错：信息统计时出现未使用过的req_id	请求推理失败	功能异常	功能异常			mindie/latest/mindie-llm/logs/pythonlog.log	记录错误日志	记录错误日志		不涉及	是	侵入式修改代码	"export MINDIE_LLM_PYTHON_LOG_LEVEL=DEBUG
1. 打开并行解码：config.json中的ModelConfig内配置：""plugin_params"": ""{\""plugin_type\"":\""la\"",\""level\"": 4,\""window\"": 5,\""guess_set_size\"": 5}""，ModelDeployConfig配置""speculationGamma"": 30
2. 在mindie_llm/text_generator/plugins/la/la_statistics.py:141的update_request_stats函数中将req_id直接改为10000"	"export MINDIE_LLM_PYTHON_LOG_LEVEL=DEBUG
1. 打开并行解码：config.json中的ModelConfig内配置：""plugin_params"": ""{\""plugin_type\"":\""la\"",\""level\"": 4,\""window\"": 5,\""guess_set_size\"": 5}""，ModelDeployConfig配置""speculationGamma"": 30
2. 在mindie_llm/text_generator/plugins/la/la_statistics.py:141的update_request_stats函数中将req_id直接改为10000"	查看故障日志	Request {req_id} has never been executed, so data statistics cannot be recorded	#NAME?		开发调试	考虑到只是统计数据受影响，并没有让服务停止			Y	"日志已合入
用例待补充"			MIE	5	E	1	0	7	MIE05E010007	TEXT_GENERATOR_REQ_ID_UNUSED			是	630	['MIE05E010007']
AI_MINDIE_LLM_TEXTGENERATOR_11	已删除		MINDIE	LLM	TextGenerator	平台软件	运行时报错：memory_decoding走到未支持草稿分支。	请求推理失败	功能异常	功能异常			~/mindie/log/debug/mindie-llm_{pid}_{time}.log	退出	抛出异常,退出		不涉及	是			"memory_decoding走到未支持草稿分支。
1. 打开并行解码：config.json中的ModelConfig内配置：""plugin_params"": ""{\""plugin_type\"":\""memory_decoding\"",\""decoding_length\"": 16,\""dynamic_algo\"": true}""，ModelDeployConfig配置""speculationGamma"": 16
2. 在mindie_llm/text_generator/plugins/memory_decoding/decoding_policy.py中DECODING_MODE全局变量改为空"	查看抛出的异常信息	decoding mode only support single and multi'；删代码				已删除			N	代码已删除			MIE	5		1			MIE0501				否		
AI_MINDIE_LLM_TEXTGENERATOR_12	初始化失败：generator_backend类型不支持	AI软件	MINDIE	LLM	TextGenerator	平台软件	配置了未支持的generator_backend类型	启动失败	启动失败	用户配置错误	否	否	/usr/local/Ascend/mindie/latest/mindie-llm/logs/pythonlog.log	退出	记录错误日志,退出		不涉及	是	ut测试	"1.下载https://gitee.com/ascend/MindIE-LLM/blob/master/tests/pythontest/text_generator/test_error.py
2.保留test_generator_backend，注释掉其他test_开头的方法（用例）
3.若希望异常信息保留在日志文件中，则需要注释掉用例代码中的“self._recover_log(log_bak)”，否则会自动恢复用例执行前的日志文件原貌。
4. 在安装有mindie的环境中运行
MINDIE_LOG_TO_STDOUT=1 python tests/pythontest/text_generator/test_error.py"	修改配置参数backendType为未知类型	查看故障日志	Unsupported backend type. The `backend_type` field only supports either "atb" or "ms". If you are using a service framework, please modify its configuration file to ensure the `backend_type` parameter passed to the `Generator` is correct. Such files are typically located in conf/config.json or a similar path. Note that this parameter must be consistent with the environment variable `MINDIE_LLM_FRAMEWORK_BACKEND`.	ut运行通过且日志内容符合预期		启动服务	UT测试			Y	日志用例均已合入		是	MIE	5	E	1	0	8	MIE05E010008	TEXT_GENERATOR_GENERATOR_BACKEND_INVALID			是	630	['MIE05E010008']
AI_MINDIE_LLM_TEXTGENERATOR_13	请求推理失败：校验request_ids的shape失败	AI软件	MINDIE	LLM	TextGenerator	平台软件	上层调用sampler时传入的request_ids与logits的第0维shape不一致	请求推理失败	功能异常	功能异常	否	否	/usr/local/Ascend/mindie/latest/mindie-llm/logs/pythonlog.log	继续下一个节点状态的更新	记录错误日志		不涉及	是	ut测试	"1.下载https://gitee.com/ascend/MindIE-LLM/blob/master/tests/pythontest/text_generator/test_error.py
2.保留test_logits_shape，注释掉其他test_开头的方法（用例）
3.若希望异常信息保留在日志文件中，则需要注释掉用例代码中的“self._recover_log(log_bak)”，否则会自动恢复用例执行前的日志文件原貌。
4. 在安装有mindie的环境中运行
MINDIE_LOG_TO_STDOUT=1 python tests/pythontest/text_generator/test_error.py"	调用sampler时传入与logits第0维shape不一致的request_ids；	查看故障日志	The batch size of request_ids and logits are inconsistent. This may occur if incorrect request_ids are provided when calling the sample method of the generator_backend or when directly invoking the sampler. Please check the shapes of request_ids and logits before making these calls.	ut运行通过且日志内容符合预期		开发调试	UT测试			Y	日志用例均已合入		是	MIE	5	E	1	0	9	MIE05E010009	TEXT_GENERATOR_LOGITS_SHAPE_MISMATCH			是	630	['MIE05E010009']
AI_MINDIE_LLM_TEXTGENERATOR_14	请求推理失败：decode阶段找不到参数缓存	AI软件	MINDIE	LLM	TextGenerator	平台软件	上层应用未发送prefill请求或在请求已判停后继续发送decode请求	请求推理失败	功能异常	功能异常	否	否	/usr/local/Ascend/mindie/latest/mindie-llm/logs/pythonlog.log	继续下一个节点状态的更新	记录错误日志		不涉及	是	ut测试	"1.下载https://gitee.com/ascend/MindIE-LLM/blob/master/tests/pythontest/text_generator/test_error.py
2.保留test_invalid_decoding，注释掉其他test_开头的方法（用例）
3.若希望异常信息保留在日志文件中，则需要注释掉用例代码中的“self._recover_log(log_bak)”，否则会自动恢复用例执行前的日志文件原貌。
4. 在安装有mindie的环境中运行
MINDIE_LOG_TO_STDOUT=1 python tests/pythontest/text_generator/test_error.py"	使用service调用mindie_llm时在收到eos_np时将非0的判停标志改为0	查看故障日志	There is no cached data for request {request_id}. This could be due to one of the following reasons: 1. It has not gone through the prefilling stage. 2. The request was determined to have stopped but was still passed into the decoding process.	ut运行通过且日志内容符合预期		开发调试	UT测试			Y	日志用例均已合入		是	MIE	5	E	1	0	10	MIE05E010010	TEXT_GENERATOR_MISSING_PREFILL_OR_INVALID_DECODE_REQ			是	630	['MIE05E010010']
AI_MINDIE_LLM_TEXTGENERATOR_15	请求推理失败：block_size校验失败	AI软件	MINDIE	LLM	TextGenerator	平台软件	构造input_metadata输入时传入了非法的max_block_size	请求推理失败	功能异常	功能异常	否	否	/usr/local/Ascend/mindie/latest/mindie-llm/logs/pythonlog.log	继续下一个节点状态的更新	记录错误日志		不涉及	是	ut测试	"1.下载https://gitee.com/ascend/MindIE-LLM/blob/master/tests/pythontest/text_generator/test_error.py
2.保留test_block_size，注释掉其他test_开头的方法（用例）
3.若希望异常信息保留在日志文件中，则需要注释掉用例代码中的“self._recover_log(log_bak)”，否则会自动恢复用例执行前的日志文件原貌。
4. 在安装有mindie的环境中运行
MINDIE_LOG_TO_STDOUT=1 python tests/pythontest/text_generator/test_error.py"	构造input_metadata时传入max_block_size=0	查看故障日志	It has been detected that `max_block_size` is set to 0, but `max_block_size` must be greater than 0 to ensure the program runs correctly. If you are unsure of an appropriate value, you can simply omit this parameter.	ut运行通过且日志内容符合预期		开发调试	UT测试			Y	日志用例均已合入		是	MIE	5	E	1	0	11	MIE05E010011	TEXT_GENERATOR_MAX_BLOCK_SIZE_INVALID			是	630	['MIE05E010011']
AI_MINDIE_LLM_TEXTGENERATOR_16	初始化失败：eos_token_id不合法	AI软件	MINDIE	LLM	TextGenerator	平台软件	配置的eos_token_id参数格式既不是int型也不是非空列表	启动失败	启动失败	用户配置错误	否	否	/usr/local/Ascend/mindie/latest/mindie-llm/logs/pythonlog.log	退出	记录错误日志,退出		不涉及	是	ut测试	"1.下载https://gitee.com/ascend/MindIE-LLM/blob/master/tests/pythontest/text_generator/test_error.py
2.保留test_eos_token_id，注释掉其他test_开头的方法（用例）
3.若希望异常信息保留在日志文件中，则需要注释掉用例代码中的“self._recover_log(log_bak)”，否则会自动恢复用例执行前的日志文件原貌。
4. 在安装有mindie的环境中运行
MINDIE_LOG_TO_STDOUT=1 python tests/pythontest/text_generator/test_error.py"	在模型generation_config.json文件中配置eos_token_id为浮点数或空表	查看故障日志	The configured `eos_token_id` has an incorrect format. It must be an integer or a list of 'integers. You can modify the `eos_token_id` in the `generation_config.json` file of the model weights.	ut运行通过且日志内容符合预期		启动服务	UT测试			Y	日志用例均已合入		是	MIE	5	E	1	0	12	MIE05E010012	TEXT_GENERATOR_EOS_TOKEN_ID_TYPE_INVALID			是	630	['MIE05E010012']
AI_MINDIE_LLM_TEXTGENERATOR_17	初始化失败：plugin传参不合法	AI软件	MINDIE	LLM	TextGenerator	平台软件	plugin_params传递的参数不在合理范围内	启动失败	启动失败	用户配置错误	否	否	mindie/latest/mindie-llm/logs/pythonlog.log	退出	记录错误日志,退出		不涉及	是	修改配置	1. 打开并行解码：config.json中的ModelConfig内配置："plugin_params": "{\"plugin_type\":\"la\",\"level\": -1,\"window\": 5,\"guess_set_size\": 5}"，ModelDeployConfig配置"speculationGamma": 30	1. 打开并行解码：config.json中的ModelConfig内配置："plugin_params": "{\"plugin_type\":\"la\",\"level\": -1,\"window\": 5,\"guess_set_size\": 5}"，ModelDeployConfig配置"speculationGamma": 30	查看故障日志	level cannot be less than 2, but now is {self.level}, please check the value of level in plugin_params!	#NAME?		启动服务							是	MIE	5	E	1	0	14	MIE05E010014	TEXT_GENERATOR_PLUGIN_PARAM_VALUE_ERR			否		
AI_MINDIE_LLM_TEXTGENERATOR_18	内部错误	AI软件	MINDIE	LLM	TextGenerator	平台软件	dp场景下未获取到dp_rank_ids入参	启动失败	启动失败	功能异常	否	否	~/mindie/log/debug/mindie-llm_{pid}_{time}.log	退出	记录错误日志,退出		不涉及	是				查看故障日志	`dp_rank_ids` is not given when data parallel size > 1.							N				MIE	5	E	1	0	15	MIE05E010015	TEXT_GENERATOR_INTERNAL_ERROR			否		
